figure,force_g,section,signed_offset_mm,n_subjects,mean_pct,sd_pct,sem_pct,median_pct,q1_pct,q3_pct,iqr_pct,whisker_lo_pct,whisker_hi_pct,vs_chance_t,vs_chance_p,vs_chance_sig,vs_75pct_W,vs_75pct_p,vs_75pct_sig,stat_type,term,gee_formula,gee_family,gee_cov_struct,n_obs,coef,se,z_stat,p_value,ci_lo_95,ci_hi_95,significance,W_stat,subject_id,accuracy_pct,n_trials,jnd_mean_mm,jnd_sd_mm,jnd_median_mm,jnd_q1_mm,jnd_q3_mm,jnd_whisker_lo_mm,jnd_whisker_hi_mm,jnd_mm,x50_mm,beta,fit_ok
sd_signed_boxplot_26g_mm,26.000000,descriptive,-6.000000,25.000000,98.200000,6.271600,1.254300,100.000000,100.000000,100.000000,0.000000,100.000000,100.000000,38.427000,0.000000,***,0.000000,0.000001,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,descriptive,-4.500000,25.000000,92.057100,14.109700,2.821900,100.000000,83.333300,100.000000,16.666700,66.666700,100.000000,14.903700,0.000000,***,18.500000,0.000096,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,descriptive,-3.000000,25.000000,89.485700,14.069400,2.813900,100.000000,75.000000,100.000000,25.000000,57.142900,100.000000,14.032500,0.000000,***,13.000000,0.000194,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,descriptive,-1.500000,25.000000,54.142900,34.416200,6.883200,50.000000,28.571400,83.333300,54.761900,0.000000,100.000000,0.601900,0.552900,n.s.,57.500000,0.007486,**,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,descriptive,1.500000,25.000000,43.266700,24.704200,4.940800,50.000000,25.000000,50.000000,25.000000,0.000000,80.000000,-1.362800,0.185599,n.s.,8.500000,0.000069,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,descriptive,3.000000,24.000000,80.208300,20.325300,4.148900,81.666700,65.000000,100.000000,35.000000,40.000000,100.000000,7.281100,0.000000,***,99.000000,0.225106,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,descriptive,4.500000,25.000000,93.161900,16.239800,3.248000,100.000000,100.000000,100.000000,0.000000,100.000000,100.000000,13.288900,0.000000,***,25.000000,0.000187,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,descriptive,6.000000,25.000000,99.000000,5.000000,1.000000,100.000000,100.000000,100.000000,0.000000,100.000000,100.000000,49.000000,0.000000,***,0.000000,0.000001,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,inferential,,,,,,,,,,,,,,,,,,GEE,Intercept,IsCorrect ~ abs_offset_mm * force_g,Binomial,Exchangeable,1632.000000,-1.866600,0.277000,-6.731000,0.000000,-2.410000,-1.323000,***,,,,,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,inferential,,,,,,,,,,,,,,,,,,GEE,abs_offset_mm,IsCorrect ~ abs_offset_mm * force_g,Binomial,Exchangeable,1632.000000,1.016500,0.123000,8.272000,0.000000,0.776000,1.257000,***,,,,,,,,,,,,,,,
